rank,tier,priority_score,wallet_address,gmgn_url,label,twitter_username,twitter_name,target_sightings,target_tokens,target_share,total_sightings,token_count,sightings_per_day,days_since_last_seen,last_target_seen_iso,last_seen_iso,avg_target_mcap,avg_target_amount_usd,pnl_usd,win_rate,avg_buy_usd,sources,tags,provider_tags,token_tags,manual_rating,manual_notes
1,A,215.2,DWja6UWwLhX3uK4joHd7JwGHU2cpZP4cvevEQ69rxxqu,https://gmgn.ai/sol/address/DWja6UWwLhX3uK4joHd7JwGHU2cpZP4cvevEQ69rxxqu,,,,6,6,0.545,11,11,3.78,1,2026-05-11T00:44:54.000Z,2026-05-11T05:34:06.308Z,101302,0,615.16220357269,0,0.0000621582138484806,gmgn,smart_degen,,bundler|paper_hands,,
2,A,214.7,5B52w1ZW9tuwUduueP5J7HXz5AcGfruGoX6YoAudvyxG,https://gmgn.ai/sol/address/5B52w1ZW9tuwUduueP5J7HXz5AcGfruGoX6YoAudvyxG,Yenni,Yennii56,Yenni,5,4,0.625,8,5,8,3.9,2026-05-08T07:46:37.000Z,2026-05-08T08:08:34.966Z,142556,0,4194.431896575176,0.444444,79.2661683420818,okx|gmgn,smart_money|renowned|kol,kol|axiom|padre,bundler|transfer_in|paper_hands|diamond_hands,,
3,A,206.9,69z4qTgQ5DBRTJvnQzx2h8jZhNsv5UgADotEwwKUm2JS,https://gmgn.ai/sol/address/69z4qTgQ5DBRTJvnQzx2h8jZhNsv5UgADotEwwKUm2JS,Tyrelle Anderson-Brown,TyrelleAB,Tyrelle Anderson-Brown,5,5,0.385,13,12,3.28,0,2026-05-10T10:05:25.000Z,2026-05-12T06:42:38.128Z,112341,10,87.69189989285397,0,0.0002980672246331545,gmgn|okx,renowned|kol,kol|gmgn|bluechip_owner,paper_hands|bundler,,
4,A,206.6,8fcpKabenaFrm53uB2jaMk9vpUVHa626KKcSYTiTCAf2,https://gmgn.ai/sol/address/8fcpKabenaFrm53uB2jaMk9vpUVHa626KKcSYTiTCAf2,,,,6,5,0.545,11,10,11,3.9,2026-05-08T08:01:34.000Z,2026-05-08T08:07:29.513Z,101776,22,89.46642681825,0,0.002991274042175489,gmgn,smart_degen,,,,
5,A,199.7,2NuAgVk3hcb7s4YvP4GjV5fD8eDvZQv5wuN6ZC8igRfV,https://gmgn.ai/sol/address/2NuAgVk3hcb7s4YvP4GjV5fD8eDvZQv5wuN6ZC8igRfV,,,,5,5,0.500,10,10,10,3.9,2026-05-08T06:49:03.000Z,2026-05-08T08:07:33.544Z,68079,0,186.31417543645,0,0.000113224922093986,gmgn,smart_degen,,,,
6,A,198.2,8LUtQLSVoKewkXXHSsWJA9sio9cH7Q4hSfKVm5cRk7QY,https://gmgn.ai/sol/address/8LUtQLSVoKewkXXHSsWJA9sio9cH7Q4hSfKVm5cRk7QY,,,,5,5,0.385,13,12,4.44,1,2026-05-10T20:16:06.000Z,2026-05-11T05:34:06.309Z,90160,0,50.49119096448,0,0.00017800347342992432,gmgn,smart_degen,axiom,bundler|paper_hands,,
7,B,182.3,HEq5VR1iu2cMC899q76BCQnFTTJrtay7NZPzmhCAWtrQ,https://gmgn.ai/sol/address/HEq5VR1iu2cMC899q76BCQnFTTJrtay7NZPzmhCAWtrQ,,,,2,2,0.400,5,5,5,3.9,2026-05-07T03:41:37.000Z,2026-05-08T08:08:34.976Z,135556,0,7166.086751890524,0.66,47.68287814045281,gmgn|okx,smart_degen|smart_money,,,,
8,A,180.7,2fg5QD1eD7rzNNCsvnhmXFm5hqNgwTTG8p7kQ6f3rx6f,https://gmgn.ai/sol/address/2fg5QD1eD7rzNNCsvnhmXFm5hqNgwTTG8p7kQ6f3rx6f,Cupsey,Cupseyy,Cupsey,3,3,0.231,13,12,3.27,0,2026-05-10T15:44:28.000Z,2026-05-12T06:42:34.192Z,114266,0,1140.2884009914674,0,0.005819123220736788,gmgn|okx,renowned|kol,kol|axiom|gmgn|wash_trader,bundler|transfer_in|paper_hands|diamond_hands|top_holder,,
9,A,180.6,CXVJewdc79TYR55sz4SGLSWUPz3r4LBJ9Mn93bZ8ZyAz,https://gmgn.ai/sol/address/CXVJewdc79TYR55sz4SGLSWUPz3r4LBJ9Mn93bZ8ZyAz,,,,5,5,0.714,7,7,2.4,1,2026-05-10T20:12:31.000Z,2026-05-11T05:34:06.310Z,102302,0,150.0469093286,0,0.0001932356308058996,gmgn,smart_degen,axiom|bullx|gmgn|padre,bundler|paper_hands,,
10,A,174.4,H2KAvWycyqeHhqkMC1f83Pwju3B2MztLYdXVpNMcDs2V,https://gmgn.ai/sol/address/H2KAvWycyqeHhqkMC1f83Pwju3B2MztLYdXVpNMcDs2V,,,,4,4,0.400,10,9,3.42,1,2026-05-10T22:35:07.000Z,2026-05-11T05:34:06.309Z,92925,0,369.93783905186,0,0.00010586550328169261,gmgn,smart_degen,axiom,bundler|paper_hands,,
