batch_id,wallet_address,llm_verdict,llm_confidence,recommended_action,llm_reasoning,reviewed_at_iso,llm_model,base_url
wallet-review-1778585767723-c1-b1,2NuAgVk3hcb7s4YvP4GjV5fD8eDvZQv5wuN6ZC8igRfV,insufficient_data,20,watch,"All recent sightings are holder-only signals with unavailable trade amounts, providing no evidence of active trading or strategy.",2026-05-12T11:36:20.287Z,mimo-v2.5-pro,https://api.xiaomimimo.com/v1
wallet-review-1778585767723-c1-b1,2dEpwaujMteZsFYCX3hwaavYKkU7kRwAwJe9XGuWNRGA,genuine_smart_trader,70,keep,"Wallet shows large sell trades with available USD amounts on tokens outside target mcap, but also holds target-mcap tokens, indicating selective early entry despite sparse context.",2026-05-12T11:36:20.287Z,mimo-v2.5-pro,https://api.xiaomimimo.com/v1
wallet-review-1778585767723-c1-b1,2fg5QD1eD7rzNNCsvnhmXFm5hqNgwTTG8p7kQ6f3rx6f,inflated_or_wash,80,demote,"Tagged as 'kol' and 'wash_trader' by providers with large available USD amounts on high-mcap tokens, suggesting influence rather than genuine early micro-cap trading.",2026-05-12T11:36:20.287Z,mimo-v2.5-pro,https://api.xiaomimimo.com/v1
wallet-review-1778585767723-c1-b1,2ji39D4iDuDR1m7rpJcS5ci86PLgBQkWPgwya8YQvY4h,insufficient_data,30,watch,Most sightings are holder signals with unavailable amounts; one sell on high-mcap token doesn't confirm early micro-cap focus given sparse data.,2026-05-12T11:36:20.287Z,mimo-v2.5-pro,https://api.xiaomimimo.com/v1
wallet-review-1778585767723-c1-b1,2tMtxBCdF7NWZxVdmBU2DFYBapEAruJVR7KWmZYSkroi,insufficient_data,25,watch,"All sightings are holder signals with unavailable trade amounts, offering no clear evidence of trading activity or micro-cap specialization.",2026-05-12T11:36:20.287Z,mimo-v2.5-pro,https://api.xiaomimimo.com/v1
wallet-review-1778585767723-c1-b2,2xTAbVhrFdHybZnxjkwfkQHLvkRKMfggL641mFKj8xWD,insufficient_data,20,watch,"Harvester data is sparse with only holder sightings and no trade amounts, making it impossible to verify trading activity or quality.",2026-05-12T11:36:30.870Z,mimo-v2.5-pro,https://api.xiaomimimo.com/v1
wallet-review-1778585767723-c1-b2,43QmFc2QPPGyMrSNuPnhvfs8BFW1XVZYFdbwURtWoo9x,insufficient_data,30,watch,"Multiple sightings but all are holder endpoints without trade amounts, and the provider tags suggest bundler/paper_hands behavior, indicating potential noise.",2026-05-12T11:36:30.870Z,mimo-v2.5-pro,https://api.xiaomimimo.com/v1
wallet-review-1778585767723-c1-b2,4YzpSZpxDdjNf3unjkCtdWEsz2FL5mok7e5XQaDNqry8,insufficient_data,25,watch,"Only two sightings from holder endpoints with no trade data, despite provider tags suggesting KOL status, so context is too limited for confident assessment.",2026-05-12T11:36:30.870Z,mimo-v2.5-pro,https://api.xiaomimimo.com/v1
wallet-review-1778585767723-c1-b2,55ZQuSoWHxHkCxzZvU4QP6FyNAcc6y62d3FKiEghPzAH,insufficient_data,20,watch,"All sightings are from holder endpoints with unavailable amounts, and the bundler/paper_hands tags indicate possible low-quality or noisy activity.",2026-05-12T11:36:30.870Z,mimo-v2.5-pro,https://api.xiaomimimo.com/v1
wallet-review-1778585767723-c1-b2,5B52w1ZW9tuwUduueP5J7HXz5AcGfruGoX6YoAudvyxG,genuine_smart_trader,70,promote,"Multiple sources show actual trades with positive PnL and win rate, targeting micro-cap tokens, though some holder sightings limit full clarity.",2026-05-12T11:36:30.870Z,mimo-v2.5-pro,https://api.xiaomimimo.com/v1
wallet-review-1778585767723-c1-b3,69z4qTgQ5DBRTJvnQzx2h8jZhNsv5UgADotEwwKUm2JS,inflated_or_wash,70,demote,"Wallet has KOL tags and high average target mcap (~112k USD) but shows only hold actions with sparse data, suggesting inflated holdings rather than active early trading.",2026-05-12T11:36:43.266Z,mimo-v2.5-pro,https://api.xiaomimimo.com/v1
wallet-review-1778585767723-c1-b3,6Dt9J7TXM3eqyQBAZMbGJCV6VsP13WVStwPJnLPFtw2Y,insufficient_data,90,remove,"Only three sightings with all amounts unavailable and no trade actions, making it impossible to assess genuine trading behavior.",2026-05-12T11:36:43.266Z,mimo-v2.5-pro,https://api.xiaomimimo.com/v1
wallet-review-1778585767723-c1-b3,6EDaVsS6enYgJ81tmhEkiKFcb4HuzPUVFZeom6PHUqN3,inflated_or_wash,65,demote,KOL and smart_money tags with multiple hold actions and no clear early entry signals; negative PnL and sparse data indicate potential wash activity.,2026-05-12T11:36:43.266Z,mimo-v2.5-pro,https://api.xiaomimimo.com/v1
wallet-review-1778585767723-c1-b3,719sfKUjiMThumTt2u39VMGn612BZyCcwbM5Pe8SqFYz,insufficient_data,85,remove,"Only two sightings with unavailable amounts and no trade actions, providing insufficient evidence for classification.",2026-05-12T11:36:43.266Z,mimo-v2.5-pro,https://api.xiaomimimo.com/v1
wallet-review-1778585767723-c1-b3,71pAfN1nJhcLaezSRYvwdsNFE9PnY9hNfcxB4nZ1gdAp,genuine_smart_trader,60,keep,"Shows sell actions on tokens near 200k mcap with smart_money tag and complete data, indicating potential early trader behavior despite limited sightings.",2026-05-12T11:36:43.266Z,mimo-v2.5-pro,https://api.xiaomimimo.com/v1
