batch_id,wallet_address,llm_verdict,llm_confidence,recommended_action,llm_reasoning,reviewed_at_iso,llm_model,base_url
wallet-review-1778603536365-c1-b1,73f1cxg7cMM52fdLjKXcadKhi7GWV6MSZkWrdq7w7bNM,inflated_or_wash,65,demote,"KOL-like profile with only holder sightings and no trader actions, indicating noisy influencer flow rather than a profitable smart trader.",2026-05-12T16:32:38.652Z,mimo-v2.5-pro,https://api.xiaomimimo.com/v1
wallet-review-1778603536365-c1-b1,79c2XHrcjA7HrLt3u4Pkwbm4gezeGq35iSnfDwZezAy6,copy_trader,70,watch,Multiple sell sightings on high-mcap tokens with bundler tags and positive PnL suggest copy-trading behavior rather than early micro-cap sniping.,2026-05-12T16:32:38.652Z,mimo-v2.5-pro,https://api.xiaomimimo.com/v1
wallet-review-1778603536365-c1-b1,7q15WZ4iSUDvqfs5Kdh9bfptkQhs6qKUyCUq6GY6PGxg,inflated_or_wash,60,demote,"Predominantly holder sightings with only one sell on a high-mcap token, and positive PnL from that sell may indicate wash or inflated activity.",2026-05-12T16:32:38.652Z,mimo-v2.5-pro,https://api.xiaomimimo.com/v1
wallet-review-1778603536365-c1-b1,7wiEWKeG7sFUNh1TgujwCa9cmJtSSE4mNLDde7knjoeE,copy_trader,70,watch,Sells on high-mcap tokens with bundler tags and positive PnL align with copy-trading patterns rather than genuine early micro-cap trading.,2026-05-12T16:32:38.652Z,mimo-v2.5-pro,https://api.xiaomimimo.com/v1
wallet-review-1778603536365-c1-b1,8AaJxU97iu2FYMq4oG5ccYDJsJjK7XwvzjTcVpotwNZu,inflated_or_wash,75,demote,"All sightings are holder-only with no trader actions, and positive PnL on holder data suggests inflated or wash activity.",2026-05-12T16:32:38.652Z,mimo-v2.5-pro,https://api.xiaomimimo.com/v1
wallet-review-1778603536365-c1-b1,8E1G1qWQZERejrGLF1ye66cx1xBUGp2Tahh6tTGYsPsB,inflated_or_wash,80,remove,"KOL-like profile with negative PnL and only holder sightings, indicating noisy influencer flow with no profitable trading signals.",2026-05-12T16:32:38.652Z,mimo-v2.5-pro,https://api.xiaomimimo.com/v1
wallet-review-1778603536365-c1-b1,8LUtQLSVoKewkXXHSsWJA9sio9cH7Q4hSfKVm5cRk7QY,inflated_or_wash,70,demote,"All sightings are holder-only with no trader actions, and positive PnL on holder data may indicate inflated or wash activity.",2026-05-12T16:32:38.652Z,mimo-v2.5-pro,https://api.xiaomimimo.com/v1
wallet-review-1778603536365-c1-b1,8Xnit4gf2R5cA3XE6KobuyWjiPfTptsJxN7rrAu8YbiW,insufficient_data,50,watch,"Only holder sightings with limited tokens and no trader actions, making it impossible to classify as a smart trader despite positive PnL.",2026-05-12T16:32:38.652Z,mimo-v2.5-pro,https://api.xiaomimimo.com/v1
wallet-review-1778603536365-c1-b1,8fcpKabenaFrm53uB2jaMk9vpUVHa626KKcSYTiTCAf2,insufficient_data,55,watch,"Mostly holder sightings with one sell action on a high-mcap token, and sparse trader data prevents confident classification as a smart trader.",2026-05-12T16:32:38.652Z,mimo-v2.5-pro,https://api.xiaomimimo.com/v1
wallet-review-1778603536365-c1-b1,8gW5oJqmrDk7Ja8kpTcwba3tDFx4PuexgYg9QdCCZDiM,inflated_or_wash,70,demote,"KOL-like profile with only holder sightings and no trader actions, indicating noisy influencer flow with zero PnL.",2026-05-12T16:32:38.652Z,mimo-v2.5-pro,https://api.xiaomimimo.com/v1
wallet-review-1778603536365-c1-b2,9488N1xhqspsRwSHJJdUJxvApZxgTbLStbGZAT9H12H3,insufficient_data,40,watch,"Wallet has only holder sightings with no trader actions and unavailable wallet analytics, making it impossible to confirm as a genuine trader.",2026-05-12T16:32:57.020Z,mimo-v2.5-pro,https://api.xiaomimimo.com/v1
wallet-review-1778603536365-c1-b2,9KuTh7Ap29B13LWyDx4W7N5iCCrs9n3Vz3kLQ6ZbwKgW,insufficient_data,45,watch,"Wallet shows some trader activity but wallet-level analytics are unavailable and sightings are sparse, preventing confident classification.",2026-05-12T16:32:57.020Z,mimo-v2.5-pro,https://api.xiaomimimo.com/v1
wallet-review-1778603536365-c1-b2,9XJ9RQUgUFJ9ki8SiSyL5VqdtBA9rHCF92MKVYDqPEvY,insufficient_data,35,watch,"All sightings are holder-only with unavailable analytics and amounts, providing no evidence of active trading behavior.",2026-05-12T16:32:57.020Z,mimo-v2.5-pro,https://api.xiaomimimo.com/v1
wallet-review-1778603536365-c1-b2,9cxLzxjrTeodcbaEU3KCNGE1a4yFZEcdJ7uEXN378S4U,insufficient_data,35,watch,"Wallet appears as a holder with no trader actions and unavailable wallet analytics, despite positive PnL.",2026-05-12T16:32:57.020Z,mimo-v2.5-pro,https://api.xiaomimimo.com/v1
wallet-review-1778603536365-c1-b2,AVjEtg2ECYKXYeqdRQXvaaAZBjfTjYuSMTR4WLhKoeQN,inflated_or_wash,70,demote,"KOL-like wallet with positive PnL but only holder sightings and no trader actions, suggesting noisy influencer flow rather than profitable trading.",2026-05-12T16:32:57.020Z,mimo-v2.5-pro,https://api.xiaomimimo.com/v1
wallet-review-1778603536365-c1-b2,AdHmAXchDLi6Niqx3h4QzipFSMu1Dm1yh7RwvGBKJPJa,insufficient_data,40,watch,"Wallet has high positive PnL but only holder sightings with unavailable analytics, making it impossible to verify trading activity.",2026-05-12T16:32:57.020Z,mimo-v2.5-pro,https://api.xiaomimimo.com/v1
