batch_id,wallet_address,llm_verdict,llm_confidence,recommended_action,llm_reasoning,reviewed_at_iso,llm_model,base_url
wallet-review-1778603819383-c1-b1,73f1cxg7cMM52fdLjKXcadKhi7GWV6MSZkWrdq7w7bNM,inflated_or_wash,75,remove,"Wallet is a KOL with negative PnL and no trader actions, making it noisy influencer flow.",2026-05-12T16:37:17.849Z,mimo-v2.5-pro,https://api.xiaomimimo.com/v1
wallet-review-1778603819383-c1-b1,79c2XHrcjA7HrLt3u4Pkwbm4gezeGq35iSnfDwZezAy6,genuine_smart_trader,80,promote,High winrate and sell actions on target market cap tokens indicate active profitable trading.,2026-05-12T16:37:17.849Z,mimo-v2.5-pro,https://api.xiaomimimo.com/v1
wallet-review-1778603819383-c1-b1,7q15WZ4iSUDvqfs5Kdh9bfptkQhs6qKUyCUq6GY6PGxg,insufficient_data,65,watch,Analytics show good winrate but all local sightings are holder-only with sparse trade data.,2026-05-12T16:37:17.849Z,mimo-v2.5-pro,https://api.xiaomimimo.com/v1
wallet-review-1778603819383-c1-b1,7wiEWKeG7sFUNh1TgujwCa9cmJtSSE4mNLDde7knjoeE,bot_or_sniper,85,demote,High token creation count and bundler tags suggest automated bot activity.,2026-05-12T16:37:17.849Z,mimo-v2.5-pro,https://api.xiaomimimo.com/v1
wallet-review-1778603819383-c1-b1,8AaJxU97iu2FYMq4oG5ccYDJsJjK7XwvzjTcVpotwNZu,insufficient_data,70,watch,"Only holder sightings are stored despite positive PnL, making classification uncertain.",2026-05-12T16:37:17.849Z,mimo-v2.5-pro,https://api.xiaomimimo.com/v1
wallet-review-1778603819383-c1-b1,8E1G1qWQZERejrGLF1ye66cx1xBUGp2Tahh6tTGYsPsB,inflated_or_wash,90,remove,"KOL with negative PnL, low winrate, and no trader actions is noisy and unprofitable.",2026-05-12T16:37:17.849Z,mimo-v2.5-pro,https://api.xiaomimimo.com/v1
wallet-review-1778603819383-c1-b1,8LUtQLSVoKewkXXHSsWJA9sio9cH7Q4hSfKVm5cRk7QY,insufficient_data,60,watch,High winrate analytics but all sightings are holder-only with no trade activity observed.,2026-05-12T16:37:17.849Z,mimo-v2.5-pro,https://api.xiaomimimo.com/v1
wallet-review-1778603819383-c1-b1,8Xnit4gf2R5cA3XE6KobuyWjiPfTptsJxN7rrAu8YbiW,genuine_smart_trader,70,keep,Positive PnL and target market cap holdings suggest genuine early micro-cap interest.,2026-05-12T16:37:17.849Z,mimo-v2.5-pro,https://api.xiaomimimo.com/v1
wallet-review-1778603819383-c1-b1,8fcpKabenaFrm53uB2jaMk9vpUVHa626KKcSYTiTCAf2,genuine_smart_trader,75,promote,Strong target share and positive PnL on low market cap tokens align with target strategy.,2026-05-12T16:37:17.849Z,mimo-v2.5-pro,https://api.xiaomimimo.com/v1
wallet-review-1778603819383-c1-b1,8gW5oJqmrDk7Ja8kpTcwba3tDFx4PuexgYg9QdCCZDiM,inflated_or_wash,85,remove,"KOL with extremely low winrate, no trader actions, and many tokens created indicates noisy flow.",2026-05-12T16:37:17.849Z,mimo-v2.5-pro,https://api.xiaomimimo.com/v1
wallet-review-1778603819383-c1-b2,9488N1xhqspsRwSHJJdUJxvApZxgTbLStbGZAT9H12H3,insufficient_data,30,watch,"Wallet has only holder sightings with no recorded buy/sell trades, making it impossible to assess trading behavior or profitability.",2026-05-12T16:37:37.292Z,mimo-v2.5-pro,https://api.xiaomimimo.com/v1
wallet-review-1778603819383-c1-b2,9KuTh7Ap29B13LWyDx4W7N5iCCrs9n3Vz3kLQ6ZbwKgW,genuine_smart_trader,75,promote,"High winrate (79%) from GMGN analytics and recorded sell activity with $1,080 profit, showing active profitable trading in target mcap range.",2026-05-12T16:37:37.292Z,mimo-v2.5-pro,https://api.xiaomimimo.com/v1
wallet-review-1778603819383-c1-b2,9XJ9RQUgUFJ9ki8SiSyL5VqdtBA9rHCF92MKVYDqPEvY,insufficient_data,40,watch,Only holder sightings with no trading activity recorded; last seen 4.4 days ago and no recent trades to evaluate.,2026-05-12T16:37:37.292Z,mimo-v2.5-pro,https://api.xiaomimimo.com/v1
