batch_id,wallet_address,llm_verdict,llm_confidence,recommended_action,llm_reasoning,reviewed_at_iso,llm_model,base_url
wallet-review-1778595963653-c1-b1,2NuAgVk3hcb7s4YvP4GjV5fD8eDvZQv5wuN6ZC8igRfV,insufficient_data,75,demote,"All recent sightings are holder-only with unavailable trade amounts; no GMGN analytics and only one sell in aggregate stats, making it impossible to assess trading behavior.",2026-05-12T14:26:15.058Z,mimo-v2.5-pro,https://api.xiaomimimo.com/v1
wallet-review-1778595963653-c1-b1,2ji39D4iDuDR1m7rpJcS5ci86PLgBQkWPgwya8YQvY4h,genuine_smart_trader,65,keep,"Has one large sell on a high-mcap token and holder sightings on micro-cap targets; manual label indicates data-sufficient GMGN snapshot, suggesting active trading.",2026-05-12T14:26:15.058Z,mimo-v2.5-pro,https://api.xiaomimimo.com/v1
wallet-review-1778595963653-c1-b1,2tMtxBCdF7NWZxVdmBU2DFYBapEAruJVR7KWmZYSkroi,insufficient_data,80,demote,Only holder sightings with unavailable amounts; no trader actions or GMGN analytics to validate as a smart trader.,2026-05-12T14:26:15.058Z,mimo-v2.5-pro,https://api.xiaomimimo.com/v1
wallet-review-1778595963653-c1-b1,2xTAbVhrFdHybZnxjkwfkQHLvkRKMfggL641mFKj8xWD,inflated_or_wash,70,remove,"Negative PnL, no trader actions, only holder sightings, and owner notes large drawdowns; not profitable.",2026-05-12T14:26:15.058Z,mimo-v2.5-pro,https://api.xiaomimimo.com/v1
wallet-review-1778595963653-c1-b1,43QmFc2QPPGyMrSNuPnhvfs8BFW1XVZYFdbwURtWoo9x,insufficient_data,80,watch,"All sightings are holder-only with unavailable amounts; despite manual label as profitable, no trader activity in stored data to confirm.",2026-05-12T14:26:15.058Z,mimo-v2.5-pro,https://api.xiaomimimo.com/v1
wallet-review-1778595963653-c1-b2,55ZQuSoWHxHkCxzZvU4QP6FyNAcc6y62d3FKiEghPzAH,insufficient_data,60,watch,Holder-only sightings with negative PnL and unavailable GMGN/OKX analytics; cannot confirm smart trading despite owner label.,2026-05-12T14:26:23.256Z,mimo-v2.5-pro,https://api.xiaomimimo.com/v1
wallet-review-1778595963653-c1-b2,69z4qTgQ5DBRTJvnQzx2h8jZhNsv5UgADotEwwKUm2JS,inflated_or_wash,75,remove,"KOL-like wallet with positive PnL but only holder sightings, no trading activity, and owner label indicates it is just a KOL.",2026-05-12T14:26:23.256Z,mimo-v2.5-pro,https://api.xiaomimimo.com/v1
wallet-review-1778595963653-c1-b2,6Dt9J7TXM3eqyQBAZMbGJCV6VsP13WVStwPJnLPFtw2Y,insufficient_data,65,watch,Positive PnL but only holder sightings with no trade data and unavailable wallet analytics; owner label suggests mixed profitability.,2026-05-12T14:26:23.256Z,mimo-v2.5-pro,https://api.xiaomimimo.com/v1
wallet-review-1778595963653-c1-b2,6EDaVsS6enYgJ81tmhEkiKFcb4HuzPUVFZeom6PHUqN3,inflated_or_wash,80,demote,"KOL-like wallet with negative PnL, no stored trader actions, and owner label indicates it is a noisy KOL.",2026-05-12T14:26:23.256Z,mimo-v2.5-pro,https://api.xiaomimimo.com/v1
wallet-review-1778595963653-c1-b2,719sfKUjiMThumTt2u39VMGn612BZyCcwbM5Pe8SqFYz,inflated_or_wash,85,remove,"KOL-like wallet with negative PnL, no trading activity, and owner label explicitly marks it as noisy and not profitable.",2026-05-12T14:26:23.256Z,mimo-v2.5-pro,https://api.xiaomimimo.com/v1
